Article,Risk Domain,Subdomain,Risk depth,Comment on depth of risk
2024-05-05 - RNZ - Microsoft bans US police using,0,0,Informatory,"Doesn't actually mention risk or safety concerns, but the emphasis on bansof technology use does heavily imply there is a risk involved. "
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,6,6.1,Elucidating,"""Kyle Chayka ... blamed algorithms that direct our attention to what works best for digital platforms."" is the definition here. The rest of it doesn't quite explain how this supports AI companies to gain or maintain power. "
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,5,5.2,Quasi-scientific,Really challenging - is this a explanatory content? Seems to have a lot of explanation but doesn't explicitly explain loss of agency anywhere. I think it has enough explanation across the article that one can understand the loss of agency.
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,8,8.4,Informatory,
2024-05-08 - NZH - Kiwis driving start-up gets $1,7,7,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,3,3.1,Informatory,Doesn't actually state that AI does this. The article then moves on
2024-05-09 - BOP - AI adopters forecast to pull a,4,4.3,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,7,7.1,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,6,6.2,Informatory,
2024-05-10 - PRS - Student deep nudes circulating,4,4.3,Quasi-scientific,
2024-05-10 - PRS - Student deep nudes circulating,1,1.2,Quasi-scientific,"Doesn't explain that AI can produce toxic content in relation to the data it was trained on, so doesn't build an understanding of how AI generates toxic content other than ""a tool exists that can do this."""
2024-05-10 - RDP - Apple crushed by negative feed,6,6.3,Quasi-scientific,"Graves' quote is a strong explanation of the concerns about creativity, here. "
2024-05-10 - RDP - Apple crushed by negative feed,6,6.2,Informatory,"References job loss, but doesn't describe it in much detail"
2024-05-12 - RNZ - Police not looking to alter th,1,1,Informatory,"Reference to ""fairness"" seems relevant to this Domain."
2024-05-12 - RNZ - Police not looking to alter th,2,2.2,Informatory,
2024-05-12 - RNZ - Police not looking to alter th,6,6.5,Informatory,
2024-05-12 - RNZ - Police not looking to alter th,7,7.3,Informatory,
"2024-05-15 - RNZ - 5000 crimes at New World, Pak",7,7.3,Informatory,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,1,1,Elucidating,"States that AI can disriminate against people of colour when police use these tools, but doesn't explain how this occurs. Later in the article, it does give reference to false positives, but doesn't actually clearly assign this to the AI. In this case, it says that there's a risk non-Māori police officers could fail to identify Tā moko and Māori patterns, and then says ""I suspect we could see a number of false positives."" If this was clearly linked to AI in context, this would be an informatory reference to Risk 1.3. However, because it's not clear that they're referring to AI in context, I'm marking this as informatory reference to Risk 1 with no subdomain. "
2024-05-15 - RNZ - Risk Maori and Pasifika will f,8,8.3,Quasi-scientific,Explains how additional use of biometric identification systems could lead to increased data collection
2024-05-15 - RNZ - Risk Maori and Pasifika will f,2,2,Informatory,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,5,5.1,Informatory,"Describes an instance of automation bias, but doesn't actually refer to it as such, and doesn't define or explain the way that staff members could rely on AI without applying their own critical thinking, "
2024-05-15 - RNZ - Risk Maori and Pasifika will f,8,8.1,Informatory,
