Final List of Articles,Balanace,Researcher notes about benefits,Researcher notes about risks,"Risks or benefits that weren't metnioned, but may be relevant",Tone towards AI,1-2 sentence summary,Application,Other comments worth calling out
2024-07-30 - TAM - Vital rongoa AI helps to boost m,Only Benefits,"2.2 Expanded capability not referenced, as they're talking about improving cognitive function in the context of a health improvement, rather than kaumātua and kuia getting learning a specific new skill or being better able to complete a specific new task. ","Isn't relevant to Risk 5.2 cognitive enfeeblement, as this isn't talking about relying on AI for a specific task. ",,Positive,Describes a new application by Hamilton's Rauawaawa Kaumātua Charitable Trust that uses AI to curate brain games for kaumātua and kuia. ,Concrete/existing,
2024-05-05 - RNZ - Microsoft bans US police using,Both Risks and Benefits,,"Mentions a few technologies and bans, but doesn't indicate why these are risky; the reader isn't told that this is risky, other than the context that Microsoft has initiated a ban on this use. ","Notably doesn't mention risks of technology being used before being regulated, nor does it mention risk of misuse or data privacy concerns. I've classed the top few paragraphs as ""risk"" but not a specific domain, as the initiation of a ban does imply some risk of the technology causing harm if used. ",Neutral,"Describes a recent ban on use of AI for facial recognition, as well as other use of AI in policing in NZ and internationally. ",Concrete/existing,
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,Both Risks and Benefits,,"Risk 3.2 is about the loss of consensus on reality, and this is instead about the reinforcement of a homogenous reality through algorithmic sharing. Therefore, this ISN'T risk 3.2, despite how 'filterworld' sounds like a concept which would drive people towards individually-filtered bubbles of content. QUOTE: [The phrase ""filterworld"" describes the immersive environment of algorithms that are adjusted to what we might like to consume. ""An algorithm is just an equation ... and what they judge by is really engagement. So it's what's already popular, what are other people looking at, what are other people clicking on and I think that tends to reinforce this sort of homogeneity. ""It funnels us towards the same styles or aesthetics or sounds that work for the biggest number of people.""]. IN addition, this article references Risk 6.1. Many of the references to 6.1 are to ""what works best for digital platforms"" or ""what works best for the biggest number of people"" rather than directly calling out the concentration of power. While it's talking about reinforcement of a homogenous reality, it isn't about use of AI to create homogenous art (as described in Risk 6.3), but instead it's about reinforcement of paradigms or art that suit the style or heuristics encoded into the AI from the designers (Risk 6.1)",,Negative,"Book author describes the increasing homogenization of real-world spaces as well as online content, which they suspect is due to people outsourcing decision-making to algorithms.",Concrete/existing,"This sits at the interface of Risks 3.2, 5.2, 6.1, and 6.3. However, it doesn’t neatly fit into any domain other than 5.2: it isn't about a loss of consensus on reality; preferences shift towards palatable, rather than reinforcing a hierarchy (though this is quite a strong argument for 6.1); and it isn't about AI being used to generate physical environments, but AI is rather rewarding a particular type of aesthetic via recommender algorithms. "
2024-05-08 - NZH - Kiwis driving start-up gets $1,Both Risks and Benefits,,"There is some explanation of transparency of AI systems, presented as a development that's required to win over regulators. I've classed this as Greater utility and utilization of data as it's producing new data from a dataset (producing explanations of why an AI model made a certain decision). The benefit is presented as producing that data, rather than producing insight from the data (i.e. they aren't studying the phenomenon of self-driving car decision-making; they're attempting to create a dataset that can be scrutinized by regulators if an accident occurs). 
The meaning behind ""machines that are in the physical world that we can trust,"" is unclear, While it's partially explained by the following paragraph, it could be referring to explainability, reliability, or something else entirely. ","Doesn't explain exact safety concerns, so just a Domain 7 risk. Risk 6.5 (that the industry will move too fast for proper regulation) is presented as not an issue, as there has been ""intense regulatory scrutiny"" and GM ""removed its driverless cars from the road last year amid safety and legal concerns.""
References to transparency also present these issues as not an issue, based on expected developments (""building software to explain in English why a car made a certain driving decision"") and it doesn't represent this as a current issue (i.e. there's no ""Currently, it can be unclear why a driverless car made a certain driving decision""). 
Notable that it doesn't mention the increased safety of self-driving cars compared to human drivers. ",Positive,"Profile of an Auckland University engineering grad's company, Wayve, explaining their driverless car technology. ",Concrete/existing,"""With reporting by the New York Times"", so may be imported? Unclear whether it's imported or just some sentences taken from NYT content. 
As it has a kiwi journalist as a by-line, I'll keep in the sample. Additionally, while some of the article is about the founder, there is a lot of detailed focus on the technology that isn't about the financials, so I think it's in scope. "
2024-05-09 - BOP - AI adopters forecast to pull a,Both Risks and Benefits,,,,Positive,"Describes business use of AI, sharing statistics from a recent international survey about AI use. ",Concrete/existing,"Talks about leaders worrying that they aren't planning for or implementing AI, but doesn't assign this as a risk or benefit. I've tagged it as both, because it suggests that there's some economic benefit but it's also a challenge or risk of losing out if you don't adopt. "
2024-05-10 - PRS - Student deep nudes circulating,Only Risks,,,,Negative,Describes the reponse of a high school where deepfake nude images of student have recently been circulating. ,Concrete/existing,
2024-05-10 - RDP - Apple crushed by negative feed,Only Risks,,,,Negative,Describes recent backlash to an Apple advertisement that focysed on AI-based creativity and art functionalities of a new iPad. ,Concrete/existing,
2024-05-12 - RNZ - Police not looking to alter th,Only Risks,,,,Neutral,"States police position on policy for acceptable use of information and ICT, in light of a recent AI report-writing software being launched by a contracted firm. ",Concrete/existing,All informatory references
"2024-05-15 - RNZ - 5000 crimes at New World, Pak",Both Risks and Benefits,,,"Notably does not mention risk 1.3 (unequal performance across groups), and merely indicates that the facial recognition trial would be controversial, but doesn't say why. Additionally, it *implies* that facial recognition is less accurate for Māori identification via the example, but doesn't explicitly mention this. However, they do mention accuracy of a system and suggest actions to take to ensure that the system was accurate (have a human review). ",Ambivalent,Describes recent trial by Foodstuffs for facial recognition technology in supermarkets. ,Concrete/existing,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,Only Risks,,"Risk 4.1 is potentially relevant, but not necessarily relevant; it isn't referenced. Police could use facial recognition for mass surveillance or other misuse, but this isn't imminently a concern from the increased collection and use in the article.","It's unclead exactly which type of discrimination (assumedly, 1.3, as it's talking about use of biometric data, likely for identification). The references to tā moko are about staff differentiating different patterns, so it's unclear if that's referencing AI false positives or human-generated false positives on ifentification. ",Negative,"Descibes an academic's questions and concerns about an Request for Information (RFI) from NZ police, which indicates a desire to boost their technology for scanning and storing biometric identification data. ",Concrete/existing,I have assumed that all biometric data referenced in this article is referring to AI use of identification matching based on biometric data. 
